alumno_id,matricula,nombre,apellido_paterno,apellido_materno,fecha_nacimiento,curp,sexo,grado,semestre,grupo,especialidad_id,especialidad,turno,situacion_escolar_id,situacion_escolar,promedio_general,reputacion,usuario_correo,telefono_contacto,nacionalidad_id,nacionalidad,pais_origen,municipio,estado,domicilio,codigo_postal,fecha_ingreso,beca,estatus_pago_cooperacion,promedio_ingreso,asistencia_pct,riesgo_academico,grupo_id,tutor_id,jefe_grupo_id,curp_validada,acta_nacimiento,seguro_medico,tipo_sangre,contacto_emergencia,telefono_emergencia
ALU0001,134266A0001,Karen Yaretzi,Rojas,Ramos,N/A,RORK100626MGRJMRA9,M,6°,6°,A ,CONS,Construcción,Matutino,se01,Regular,73%,excelente ,karenrojas.6a@cbtisI34.edu.mx, 385-481-2327, N01,Mexíco,Méxcio, Quechultenango,CDMX,"16 de Septiembre #154, Col. CNOP",39707,15 Jan 2O26,beca?,pendlente,9.5,s/d,BAJO,g118 , TUT036,jef009,s/i,OCR,Ninguno,B-,Tutor,448-735-5105
ALU0002,134261D0002,Juan Carlos,Cho,YOON,,COYS090124MGRHNJL2,F,1°,1°,d,ofi,OFIMÁTICA,vespertino, SE01,Regular,,Destacado, seojuncho..1d @cbtis134.edu.mx,921-029-7209, N03,Corea d3l Sur,South Korea, ,Edo. Méx.,"Vicente Guerrero #231, Col. PRD",39606,03/19/2023,,parcial ,8.5,59%,Alto,N/A,TUTO19,JEFO11,0,Entregada,null,0+,Vecino,9767256928
ALU0003,134264C0003,Diego Alejándro,Vega,Serrano,07-12-2008,VESA081207HGRGRLZ6,m,4,4 semestre, C,OFI ,s/d,Vespertino,SE06,Reinscrlto,9.0,Buena,alvarovega74@cbtisI34.edu.mx,+52 440 876 2436, N06,null,Espana,Tlapa ,Oaxaca,"Calle Juárez #396, Col. Lomas del Poniente",39637,2026-10-20,s/i,pendlente,"6,4",s/d,Medio,G089, TUT011, JEFO29,NO,pendiente,Particular,desconocido,Tutor,5489447894 
ALU0004,134264B0004,michael james,Torres,Reyes,30.09.2011,TORS110930MGRRYFA4,M,4°,S4, B,ARH,Administración de Recursos Humanos,Vespertino, SE02,IRREGULAR,"8,6",Exclente,sofiatorres-est@hotmail.com,+52 190 713 1158,NO1,Mexico,Méxcio,Zumpango,Guerrero,"Vicente Guerrero #635, Col. CNOP",,17.07.2026, No,Pagado,9.4o,77%,BAJO, G080,TUT007,JEF007,SI,pendiente,IMSS,A+,Padre,354-701-6511
ALU0005,134266A0005,Michael James,Ortega,,23/12/2O08,OEPI081223HGRRRVB0,M,6°,VI,A ,C0NT,Contabilidad,VESPERT1NO,se04,baja temporal,,Resevado,IVANORTEGA@CBTISI34.EDU.MX,3348624157,n01,Mexíco,Mex.,, ,"Niños Héroes #500, Col. CNOP",39531,12/11/2023,,PAGADO,6.6,"67,0",,g116,TUT008,JEFO33,,pendiente,N/A,B+,Hermano,(933) 695 5471
ALU0006,134263C0006,María Fernanda,Moon,Kwon,null,MOKY080429MGRNWNU8,f,3°,S3, C  ,CONT,Contabilidad, vespertino, SE01,Reg.,"9,4",destacado,yunamoon.3c@cbtis134.edu.mx,(444) 994 5938, N03,Corea d3l Sur,Corea d3l Sur,s/d,Puebla,"16 de Septiembre #209, Col. Centro",39041,25/03/2023,NO,pendlente,7.5,96.3,Bajo,G067, TUT046,JEFO34,O,pendiente,Ninguno,AB+,,+52 322 545 6463
 ,134266C0007,ANDREA MÓNICA,Salgado,Ramos,2008-04-22,SARA080422MGRLMND6,F, ,S6,C,lab, Laboratorista Quím1co,Matution ,se01, regular ,"6,4",Confictivo,andreasalgado.6c@cbtis134.edu.mx,N/A, N01,Mexico,Méxcio,,Oaxaca,"Hidalgo #992, Col. Los Sauces",39O12,O4/23/2024,No,Pagado,92%,59.9,Medio,g133,TUT015,JEF011,s/i,OCR,Ninguno,O-,Padre,43O-813-1544
ALU0008,134261A0008, María Fernanda ,Shin,Seo,22-02-2005,SISS050222HGRHXMB4,m,1°,1,a,PROG,Programación,vespertino,se02 ,Irreg.,"7,8",EXCELENTE,suminshin_134@cbtis134.edu.mx,, N04,Korea,Corea ,Iguala,Oaxaca,"Av. Insurgentes #640, Col. Lomas del Poniente",39O12,2023-01-08,No,NA,7.1,"47,0",s/d,G001, TUT011, JEF011,,OK,ISSSTE,B-,Tía,7111664826
ALU0009,134266B0009,Min Seo,HARRIS,Martin,22/09/2007,HAMJ070922HGRRRMP8,H,s/d,6 semestre, B,arh,ADMINISTRACIÓN DE RECURSOS HUMANOS,vespertino,se01,R3gular,10.0, ,jamesharris-est@alumno..cbtis134.mx ,+52 905 699 9859,NO5,Estados Unldos,USA,,Oaxaca,"16 de Septiembre #199, Co1. CNOP",39452,29-04-2023,No,NA,8.30,,Alto,g122, TUT044,JEF012,SI,pendiente,IMSS,O- ,Tutor,2555237313
N/A,134261A0010, Jae Hyun ,Canto,Mora,05.O2.2008,CAME080205HGRNRDZ8,m,1°,1°, A,prog,Programación,vespertino, SE01,R3gular,10.0,Buena,eduardocanto1@outlook.com,,NO1,Mex1co,México,Quechultenango,Oaxaca,"Calle Juárez #357, Col. Universal",39311,23-03-2024,NO,NULL,6.3,55%,bajo ,G001,TUTO15,NA,s/i,pendiente,IMSS,AB+,Tutor,24 4797 5693
