jefe_grupo_id,nombre_jefe_grupo,correo_institucional,telefono_extension,cargo
JEF001,Dr. Beatriz Torres Cervantes,drbeatriztorre@cbtis134.edu.mx,403,Jefe de Grupo 
JEF002,Mtra. Verónica Reyes Torres,mtravernicarey@cbtis134.edu.mx,402,Jefe grup0
JEF003,Dra. Arturo Campos Martínez,draarturocampo@cbtis134.edu.mx,403,Jefe de grupo
JEF004,Q.B.P. Adriana López Campos,qbpadrianalpez@cbtis134.edu.mx,304,Jefe grup0
JEF005,Q.B.P. Nora García Ríos,qbpnoragarcaro@cbtis134.edu.mx,304,Coord. grupo
JEF006,Dr. Patricia Cervantes Salgado,drpatriciacerv@cbtis134.edu.mx,302,Enlace
JEF007,Lic. Alejandro Hernández García,licalejandrohe@cbtis134.edu.mx,303,Jefe grup0
JEF008,Ing. Óscar Mendoza Torres,ingscarmendoza@cbtis134.edu.mx,301,Enlace
JEF009,Lic. Sonia García Flores,licsoniagarcaf@cbtis134.edu.mx,304,Enlace
JEF010,Dra. Alejandro Castro Ramírez,draalejandroca@cbtis134.edu.mx,401,Jefe de Grupo 
JEF011,Mtro. Arturo Cervantes Martínez,mtroarturocerv@cbtis134.edu.mx,302,Enlace
JEF012,Dra. Juan Ponce López,drajuanponcelp@cbtis134.edu.mx,303,Coord. grupo
JEF013,Mtro. Beatriz Ramírez Mendoza,mtrobeatrizram@cbtis134.edu.mx,301,Jefe de grupo
JEF014,Lic. Carlos Ríos García,liccarlosrosga@cbtis134.edu.mx,304,Jefe de grupo
JEF015,Ing. Miriam Vargas Flores,ingmiriamvarga@cbtis134.edu.mx,303,Jefe de Grupo 
JEF016,Dra. Miguel Torres Mendoza,dramigueltorre@cbtis134.edu.mx,304,Jefe de Grupo 
JEF017,Dra. Beatriz Campos López,drabeatrizcamp@cbtis134.edu.mx,403,Jefe de Grupo 
JEF018,Ing. Gabriela García Ramírez,inggabrielagar@cbtis134.edu.mx,403,Coord. grupo
JEF019,Lic. Arturo Cervantes Campos,licarturocerva@cbtis134.edu.mx,305,Coord. grupo
JEF020,Ing. Norma Molina Vargas,ingnormamolina@cbtis134.edu.mx,403,Jefe de Grupo 
JEF021,Mtra. Rosa Campos Martínez,mtrarosacampos@cbtis134.edu.mx,403,Coord. grupo
JEF022,Q.B.P. Miriam Beltrán Vargas,qbpmiriambeltr@cbtis134.edu.mx,302,Jefe grup0
JEF023,Mtra. Gabriela Martínez Beltrán,mtragabrielama@cbtis134.edu.mx,401,Coord. grupo
JEF024,Q.B.P. Raúl Hernández Ponce,qbpralhernndez@cbtis134.edu.mx,305,Jefe grup0
JEF025,Mtra. Miguel Mendoza Reyes,mtramiguelmend@cbtis134.edu.mx,402,Jefe de grupo
JEF026,Lic. Nora Martínez Hernández,licnoramartnez@cbtis134.edu.mx,303,Coord. grupo
JEF027,Mtro. Gabriela García Campos,mtrogabrielaga@cbtis134.edu.mx,303,Coord. grupo
JEF028,Mtra. Verónica Ríos Vargas,mtravernicaros@cbtis134.edu.mx,304,Jefe de Grupo 
JEF029,Mtro. Celia Torres García,mtroceliatorre@cbtis134.edu.mx,301,Jefe de Grupo 
JEF030,Mtra. Esteban Molina Ríos,mtraestebanmol@cbtis134.edu.mx,401,Jefe grup0
JEF031,Q.B.P. Gabriela Cervantes Salgado,qbpgabrielacer@cbtis134.edu.mx,301,Jefe de grupo
JEF032,Mtro. Óscar Ríos Mendoza,mtroscarrosmen@cbtis134.edu.mx,302,Enlace
JEF033,Dr. Diana Hernández Cervantes,drdianahernnde@cbtis134.edu.mx,304,Coord. grupo
JEF034,Dra. Patricia Cervantes Mendoza,drapatriciacer@cbtis134.edu.mx,401,Jefe grup0
JEF035,Dra. Cruz Molina Cervantes,dracruzmolinac@cbtis134.edu.mx,303,Enlace
JEF036,Dr. Beatriz Salgado Molina,drbeatrizsalga@cbtis134.edu.mx,301,Enlace
JEF037,Lic. Verónica Beltrán Campos,licvernicabelt@cbtis134.edu.mx,402,Enlace
JEF038,Mtro. Raúl Vargas García,mtroralvargasg@cbtis134.edu.mx,401,Coord. grupo
JEF039,Ing. Miguel Martínez Campos,ingmiguelmartn@cbtis134.edu.mx,403,Jefe de Grupo 
JEF040,Ing. Raúl Reyes Salgado,ingralreyessal@cbtis134.edu.mx,401,Jefe de Grupo 
JEF041,Mtra. Beatriz Beltrán García,mtrabeatrizbel@cbtis134.edu.mx,304,Jefe de grupo
JEF042,Q.B.P. Rubén Molina Ramírez,qbprubnmolinar@cbtis134.edu.mx,302,Jefe de grupo
