tutor_id,nombre_tutor,correo_institucional,telefono_extension,academia,estatus
TUT001,Dr. Beatriz Torres Cervantes,drbeatriztorre@cbtis134.edu.mx,102,Inglés,interino
TUT002,Mtra. Verónica Reyes Torres,mtravernicarey@cbtis134.edu.mx,106,Orientación,Activo 
TUT003,Dra. Arturo Campos Martínez,draarturocampo@cbtis134.edu.mx,204,Administración,Licencia
TUT004,Q.B.P. Adriana López Campos,qbpadrianalpez@cbtis134.edu.mx,104,Administración,Licencia
TUT005,Q.B.P. Nora García Ríos,qbpnoragarcaro@cbtis134.edu.mx,105,Contabilidad,Activo 
TUT006,Dr. Patricia Cervantes Salgado,drpatriciacerv@cbtis134.edu.mx,204,Contabilidad,Activo
TUT007,Lic. Alejandro Hernández García,licalejandrohe@cbtis134.edu.mx,103,Tutorías,Activo
TUT008,Ing. Óscar Mendoza Torres,ingscarmendoza@cbtis134.edu.mx,102,Matemáticas,ACTIVO
TUT009,Lic. Sonia García Flores,licsoniagarcaf@cbtis134.edu.mx,103,Química,Licencia
TUT010,Dra. Alejandro Castro Ramírez,draalejandroca@cbtis134.edu.mx,203,Matemáticas,Activo
TUT011,Dra. Cruz Reyes Molina,dracruzreyesmo@cbtis134.edu.mx,203,Programación,Actlvo
TUT012,Lic. Patricia Hernández García,licpatriciaher@cbtis134.edu.mx,103,Química,ACTIVO
TUT013,Mtro. Esteban Castro García,mtroestebancas@cbtis134.edu.mx,106,Matemáticas,interino
TUT014,Q.B.P. Raúl Hernández Castro,qbpralhernndez@cbtis134.edu.mx,106,Química,Activo 
TUT015,Mtra. Miriam López Ponce,mtramiriamlpez@cbtis134.edu.mx,202,Humanidades,interino
TUT016,Ing. Diana Vargas Ríos,ingdianavargas@cbtis134.edu.mx,202,Humanidades,ACTIVO
TUT017,Lic. Alejandro Ríos García,licalejandroro@cbtis134.edu.mx,103,Tutorías,Activo
TUT018,Ing. Esteban Beltrán Ponce,ingestebanbelt@cbtis134.edu.mx,104,Inglés,Licencia
TUT019,Mtra. Miriam Nava Flores,mtramiriamnava@cbtis134.edu.mx,203,Tutorías,interino
TUT020,Mtro. Juan Ramírez Ponce,mtrojuanramrez@cbtis134.edu.mx,201,Química,ACTIVO
TUT021,Dr. Beatriz Martínez Hernández,drbeatrizmartn@cbtis134.edu.mx,202,Matemáticas,Actlvo
TUT022,Mtro. Nora Campos López,mtronoracampos@cbtis134.edu.mx,101,Construcción,Activo 
TUT023,Ing. Alejandro Flores Flores,ingalejandrofl@cbtis134.edu.mx,201,Inglés,Actlvo
TUT024,Mtro. Rubén Castro Castro,mtrorubncastro@cbtis134.edu.mx,104,Orientación,Activo
TUT025,Ing. Alejandro Molina Martínez,ingalejandromo@cbtis134.edu.mx,204,Contabilidad,Activo
TUT026,Dr. Diana López Flores,drdianalpezflo@cbtis134.edu.mx,104,Inglés,Activo
